time,total_forwards,experienced_forwards,fraction_experienced
0,4,0,0.0000
60,18,0,0.0000
120,29,0,0.0000
180,55,0,0.0000
240,110,0,0.0000
300,163,0,0.0000
360,365,9,0.0247
420,351,6,0.0171
480,339,19,0.0560
540,381,61,0.1601
600,631,166,0.2631
660,488,108,0.2213
720,503,186,0.3698
780,567,261,0.4603
840,536,226,0.4216
900,398,178,0.4472
960,578,239,0.4135
1020,542,311,0.5738
1080,572,352,0.6154
1140,416,255,0.6130
1200,502,250,0.4980
1260,693,343,0.4949
1320,606,430,0.7096
1380,519,390,0.7514
1440,629,445,0.7075
1500,468,348,0.7436
1560,756,674,0.8915
1620,546,461,0.8443
1680,713,591,0.8289
1740,459,371,0.8083
1800,625,585,0.9360
1860,915,859,0.9388
1920,629,604,0.9603
1980,689,593,0.8607
2040,943,844,0.8950
2100,818,720,0.8802
2160,758,708,0.9340
2220,640,597,0.9328
2280,680,667,0.9809
2340,753,723,0.9602
2400,545,539,0.9890
2460,372,360,0.9677
2520,574,570,0.9930
2580,558,544,0.9749
2640,606,598,0.9868
2700,359,315,0.8774
2760,636,630,0.9906
2820,507,448,0.8836
2880,567,527,0.9295
2940,715,689,0.9636
3000,366,363,0.9918
3060,1037,1036,0.9990
3120,448,445,0.9933
3180,583,576,0.9880
3240,717,716,0.9986
3300,784,784,1.0000
3360,480,464,0.9667
3420,587,575,0.9796
3480,610,608,0.9967
3540,604,602,0.9967
