time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.984277
360,0.968619
420,0.968619
480,0.954756
540,0.948406
600,0.940666
660,0.917879
720,0.886088
780,0.860700
840,0.839063
900,0.818568
960,0.807920
1020,0.803501
1080,0.800258
1140,0.786662
1200,0.777954
1260,0.776230
1320,0.745720
1380,0.725904
1440,0.708763
1500,0.708763
1560,0.696343
1620,0.681726
1680,0.654014
1740,0.632801
1800,0.613574
1860,0.610274
1920,0.599467
1980,0.600732
2040,0.593304
2100,0.596038
2160,0.598726
2220,0.580333
2280,0.580374
2340,0.577508
2400,0.558362
2460,0.552690
2520,0.549095
2580,0.549487
2640,0.547724
2700,0.548480
2760,0.545756
2820,0.542874
2880,0.539905
2940,0.536277
3000,0.534955
3060,0.533373
3120,0.530439
3180,0.532790
3240,0.528990
3300,0.530840
3360,0.528287
3420,0.526022
3480,0.523406
3540,0.523820
