time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.973208
300,0.942473
360,0.904550
420,0.904550
480,0.887999
540,0.860599
600,0.806192
660,0.800653
720,0.758726
780,0.750317
840,0.743082
900,0.728687
960,0.727517
1020,0.711675
1080,0.711675
1140,0.642781
1200,0.627859
1260,0.618610
1320,0.608066
1380,0.616544
1440,0.610004
1500,0.592312
1560,0.571252
1620,0.563622
1680,0.562947
1740,0.549791
1800,0.548729
1860,0.539103
1920,0.540641
1980,0.533979
2040,0.529121
2100,0.525694
2160,0.525189
2220,0.525616
2280,0.524540
2340,0.525775
2400,0.524722
2460,0.510471
2520,0.509975
2580,0.498285
2640,0.492493
2700,0.490052
2760,0.488346
2820,0.490891
2880,0.486591
2940,0.488492
3000,0.487393
3060,0.484024
3120,0.477120
3180,0.474918
3240,0.477907
3300,0.477489
3360,0.478274
3420,0.482786
3480,0.483278
3540,0.483546
