time,gini
0,0.000000
60,0.000000
120,0.000000
180,0.000000
240,0.000000
300,0.944298
360,0.927551
420,0.882589
480,0.863559
540,0.836774
600,0.820567
660,0.804517
720,0.790941
780,0.721024
840,0.712008
900,0.702368
960,0.684667
1020,0.668648
1080,0.658298
1140,0.653304
1200,0.629831
1260,0.622629
1320,0.614221
1380,0.595886
1440,0.564699
1500,0.560366
1560,0.557064
1620,0.541303
1680,0.535217
1740,0.531542
1800,0.533588
1860,0.528574
1920,0.527847
1980,0.517255
2040,0.517400
2100,0.517894
2160,0.510602
2220,0.509873
2280,0.512139
2340,0.510905
2400,0.512917
2460,0.503443
2520,0.498795
2580,0.499590
2640,0.495184
2700,0.492609
2760,0.488091
2820,0.488288
2880,0.487557
2940,0.487038
3000,0.483381
3060,0.484223
3120,0.484402
3180,0.486969
3240,0.483523
3300,0.485524
3360,0.484889
3420,0.482567
3480,0.485322
3540,0.484737
