latency,hops,proof_bytes
141.30,2,256
207.40,2,256
297.10,3,384
396.80,4,512
357.00,6,768
443.80,2,256
423.80,2,256
254.00,3,384
274.00,2,256
477.20,5,640
481.00,2,256
335.10,4,512
318.00,2,256
320.90,3,384
655.90,4,512
291.40,4,512
367.80,2,256
344.80,1,128
451.70,4,512
517.80,1,128
753.20,6,768
751.20,8,1024
606.00,5,640
455.00,5,640
654.10,5,640
376.00,2,256
456.70,1,128
518.30,1,128
894.00,4,512
759.90,9,1152
795.70,2,256
573.90,3,384
758.10,3,384
835.80,4,512
369.90,3,384
347.40,1,128
892.80,9,1152
435.90,4,512
772.30,6,768
1076.90,5,640
880.00,6,768
850.50,6,768
461.60,4,512
604.90,2,256
625.20,2,256
867.40,6,768
776.60,2,256
402.60,3,384
1060.20,6,768
407.10,3,384
1260.20,7,896
1235.30,4,512
1224.40,4,512
504.60,2,256
748.70,4,512
1278.60,4,512
700.00,2,256
1111.70,2,256
175.90,1,128
764.50,6,768
811.00,5,640
1096.10,7,896
1323.00,1,128
1195.30,5,640
1160.70,2,256
40.00,1,128
1153.60,4,512
1290.10,4,512
24.90,1,128
1443.00,7,896
1150.20,7,896
738.30,6,768
645.90,4,512
743.00,3,384
481.00,3,384
912.10,2,256
858.80,4,512
673.00,2,256
1207.90,4,512
940.30,2,256
473.10,5,640
777.10,3,384
285.80,3,384
1231.50,1,128
1502.50,4,512
1205.10,3,384
1059.80,5,640
1336.40,4,512
669.50,6,768
1215.50,3,384
554.60,2,256
524.20,1,128
782.90,2,256
851.50,3,384
1430.60,7,896
802.70,6,768
679.60,2,256
1780.20,2,256
616.50,3,384
1752.30,3,384
1062.40,4,512
1508.60,4,512
1266.20,3,384
720.90,3,384
975.80,4,512
878.90,6,768
1337.50,2,256
1459.30,4,512
1521.40,6,768
368.10,3,384
1316.10,1,128
1611.20,7,896
1664.80,5,640
959.70,4,512
103.00,2,256
1380.90,4,512
282.00,1,128
551.30,2,256
1827.80,9,1152
926.90,2,256
1192.30,3,384
1075.40,3,384
1463.00,4,512
1369.50,3,384
1634.90,4,512
1171.40,3,384
283.50,2,256
1132.70,1,128
1403.80,3,384
893.60,4,512
1146.70,4,512
593.00,3,384
1137.20,2,256
1166.70,5,640
1403.20,2,256
1696.20,3,384
1129.70,3,384
1484.00,4,512
1773.20,6,768
251.70,1,128
1012.80,1,128
1070.20,3,384
611.80,1,128
1005.20,3,384
773.30,4,512
787.40,3,384
1513.90,4,512
1434.00,4,512
375.20,2,256
680.50,1,128
1347.50,3,384
47.30,1,128
1403.60,3,384
964.10,1,128
2394.70,3,384
142.30,1,128
1413.40,2,256
2180.00,5,640
58.20,1,128
912.20,2,256
941.20,3,384
1185.60,3,384
1936.70,3,384
1560.10,5,640
985.40,5,640
496.50,3,384
1761.00,3,384
2338.30,4,512
177.70,1,128
387.60,2,256
988.90,1,128
2312.20,4,512
1908.70,3,384
2221.80,5,640
1596.30,3,384
649.80,3,384
831.90,4,512
1311.70,2,256
1575.90,5,640
1806.80,3,384
2006.30,1,128
1149.10,4,512
2313.90,4,512
982.50,2,256
1640.60,6,768
1760.60,3,384
306.60,3,384
1931.20,5,640
876.30,2,256
2079.40,2,256
1910.30,3,384
1577.80,2,256
605.60,2,256
981.70,1,128
2528.80,2,256
950.10,3,384
1453.40,2,256
2335.00,5,640
2609.10,4,512
1712.50,4,512
548.20,3,384
2058.40,4,512
948.80,3,384
2191.30,3,384
1486.10,3,384
1224.20,5,640
1725.20,2,256
1350.00,1,128
1449.20,4,512
402.50,2,256
1256.10,2,256
1162.20,2,256
1444.30,6,768
2057.20,4,512
1678.30,5,640
2086.90,4,512
2311.60,3,384
868.60,3,384
1172.90,3,384
2417.50,3,384
37.00,1,128
1105.80,2,256
1589.60,2,256
1263.70,1,128
856.60,2,256
952.20,2,256
1130.20,2,256
1260.60,2,256
1181.50,2,256
2765.30,2,256
670.60,1,128
833.50,4,512
1592.20,2,256
965.90,4,512
1326.60,5,640
1142.80,4,512
2740.30,3,384
641.20,3,384
1943.00,2,256
2185.30,4,512
1843.00,2,256
391.80,2,256
2131.50,3,384
2485.30,3,384
873.10,4,512
2052.20,3,384
1862.30,1,128
2767.40,7,896
1676.40,3,384
365.90,1,128
2296.30,3,384
365.70,2,256
999.90,2,256
823.00,2,256
1942.10,4,512
1125.50,1,128
684.60,2,256
804.90,4,512
1456.00,2,256
1278.20,1,128
1544.90,2,256
2666.10,2,256
929.50,4,512
1454.60,2,256
717.70,2,256
2502.50,3,384
1600.60,3,384
1900.30,6,768
1678.40,4,512
88.60,1,128
1924.20,5,640
1642.80,3,384
1106.90,4,512
1410.80,5,640
2027.50,5,640
2186.30,3,384
532.70,2,256
2724.80,4,512
368.90,2,256
2074.00,5,640
3004.00,4,512
1363.60,2,256
632.90,2,256
1361.00,5,640
1324.70,4,512
2012.60,4,512
660.30,2,256
1972.30,2,256
986.50,4,512
1927.90,3,384
2245.10,4,512
1100.50,5,640
2852.10,3,384
1600.10,4,512
1177.20,3,384
