time,gini
0,0.000000
60,0.982143
120,0.982143
180,0.982143
240,0.982143
300,0.964304
360,0.964304
420,0.964304
480,0.964304
540,0.928661
600,0.928661
660,0.903058
720,0.895953
780,0.895953
840,0.895953
900,0.848979
960,0.829199
1020,0.818494
1080,0.818494
1140,0.804286
1200,0.751840
1260,0.686785
1320,0.651935
1380,0.638660
1440,0.638897
1500,0.617110
1560,0.614027
1620,0.615044
1680,0.615459
1740,0.610046
1800,0.597123
1860,0.605404
1920,0.565136
1980,0.569592
2040,0.569592
2100,0.569381
2160,0.566118
2220,0.569273
2280,0.558050
2340,0.553864
2400,0.552174
2460,0.539941
2520,0.543926
2580,0.521656
2640,0.523461
2700,0.523985
2760,0.517951
2820,0.501386
2880,0.489245
2940,0.483700
3000,0.483801
3060,0.475480
3120,0.471325
3180,0.473089
3240,0.461082
3300,0.460511
3360,0.454926
3420,0.453220
3480,0.458394
3540,0.451524
