time,total_forwards,experienced_forwards,fraction_experienced
0,7,0,0.0000
60,16,0,0.0000
120,21,0,0.0000
180,43,0,0.0000
240,74,9,0.1216
300,120,10,0.0833
360,128,3,0.0234
420,114,4,0.0351
480,234,29,0.1239
540,196,10,0.0510
600,329,41,0.1246
660,287,26,0.0906
720,437,110,0.2517
780,316,151,0.4778
840,301,246,0.8173
900,429,275,0.6410
960,403,302,0.7494
1020,201,174,0.8657
1080,257,215,0.8366
1140,479,375,0.7829
1200,456,436,0.9561
1260,312,289,0.9263
1320,284,257,0.9049
1380,348,306,0.8793
1440,382,336,0.8796
1500,394,383,0.9721
1560,384,363,0.9453
1620,527,420,0.7970
1680,615,583,0.9480
1740,395,368,0.9316
1800,589,572,0.9711
1860,350,345,0.9857
1920,509,399,0.7839
1980,245,239,0.9755
2040,408,393,0.9632
2100,748,709,0.9479
2160,456,433,0.9496
2220,525,520,0.9905
2280,552,537,0.9728
2340,437,389,0.8902
2400,255,225,0.8824
2460,596,544,0.9128
2520,483,483,1.0000
2580,657,650,0.9893
2640,591,590,0.9983
2700,767,717,0.9348
2760,610,551,0.9033
2820,489,475,0.9714
2880,630,630,1.0000
2940,511,485,0.9491
3000,760,711,0.9355
3060,350,350,1.0000
3120,319,319,1.0000
3180,527,524,0.9943
3240,195,174,0.8923
3300,770,761,0.9883
3360,511,511,1.0000
3420,724,724,1.0000
3480,739,739,1.0000
3540,537,537,1.0000
