time,total_forwards,experienced_forwards,fraction_experienced
0,4,0,0.0000
60,24,0,0.0000
120,44,0,0.0000
180,111,0,0.0000
240,203,1,0.0049
300,147,0,0.0000
360,181,2,0.0110
420,272,19,0.0699
480,220,46,0.2091
540,428,44,0.1028
600,470,159,0.3383
660,324,155,0.4784
720,295,94,0.3186
780,426,286,0.6714
840,550,438,0.7964
900,381,364,0.9554
960,597,544,0.9112
1020,611,601,0.9836
1080,223,222,0.9955
1140,449,449,1.0000
1200,500,500,1.0000
1260,380,380,1.0000
1320,200,200,1.0000
1380,553,552,0.9982
1440,549,549,1.0000
1500,436,436,1.0000
1560,505,505,1.0000
1620,516,516,1.0000
1680,473,473,1.0000
1740,514,514,1.0000
1800,432,432,1.0000
1860,481,481,1.0000
1920,597,597,1.0000
1980,329,329,1.0000
2040,389,389,1.0000
2100,574,574,1.0000
2160,345,345,1.0000
2220,344,344,1.0000
2280,131,131,1.0000
2340,684,684,1.0000
2400,374,374,1.0000
2460,313,313,1.0000
2520,672,672,1.0000
2580,345,345,1.0000
2640,424,424,1.0000
2700,551,551,1.0000
2760,654,654,1.0000
2820,527,527,1.0000
2880,325,325,1.0000
2940,470,470,1.0000
3000,353,353,1.0000
3060,287,287,1.0000
3120,683,683,1.0000
3180,577,577,1.0000
3240,424,424,1.0000
3300,462,462,1.0000
3360,656,656,1.0000
3420,271,271,1.0000
3480,505,505,1.0000
3540,483,483,1.0000
